picture;condition;sentence;type_change;changed_to;sentence_gender;picture_gender;sentence_id
TS_astronauten_seilspringen_brunnen_frauen.jpg;Target;Die Astronauten springen Seil vor dem Brunnen.;;;gen_masc;women;1
TS_astronauten_seilspringen_brunnen_männer.jpg;Target;Die Astronauten springen Seil vor dem Brunnen.;;;gen_masc;men;1
TS_astronauten_seilspringen_brunnen_gemischt.jpg;Target;Die Astronauten springen Seil vor dem Brunnen.;;;gen_masc;mixed;1
TS_astronauten_seilspringen_brunnen_frauen.jpg;Target;Die Astronaut*innen springen Seil vor dem Brunnen.;;;gen_star;women;1
TS_astronauten_seilspringen_brunnen_männer.jpg;Target;Die Astronaut*innen springen Seil vor dem Brunnen.;;;gen_star;men;1
TS_astronauten_seilspringen_brunnen_gemischt.jpg;Target;Die Astronaut*innen springen Seil vor dem Brunnen.;;;gen_star;mixed;1
TS_kellner_laufen_flugzeug_frauen.jpg;Target;Die Kellner laufen durch das Flugzeug.;;;gen_masc;women;2
TS_kellner_laufen_flugzeug_männer.jpg;Target;Die Kellner laufen durch das Flugzeug.;;;gen_masc;men;2
TS_kellner_laufen_flugzeug_gemischt.jpg;Target;Die Kellner laufen durch das Flugzeug.;;;gen_masc;mixed;2
TS_kellner_laufen_flugzeug_frauen.jpg;Target;Die Kellner*innen laufen durch das Flugzeug.;;;gen_star;women;2
TS_kellner_laufen_flugzeug_männer.jpg;Target;Die Kellner*innen laufen durch das Flugzeug.;;;gen_star;men;2
TS_kellner_laufen_flugzeug_gemischt.jpg;Target;Die Kellner*innen laufen durch das Flugzeug.;;;gen_star;mixed;2
TS_kellner_schach_zoo_frauen.jpg;Target;Die Kellner spielen Schach im Zoo.;;;gen_masc;women;3
TS_kellner_schach_zoo_männer.jpg;Target;Die Kellner spielen Schach im Zoo.;;;gen_masc;men;3
TS_kellner_schach_zoo_gemischt.jpg;Target;Die Kellner spielen Schach im Zoo.;;;gen_masc;mixed;3
TS_kellner_schach_zoo_frauen.jpg;Target;Die Kellner*innen spielen Schach im Zoo.;;;gen_star;women;3
TS_kellner_schach_zoo_männer.jpg;Target;Die Kellner*innen spielen Schach im Zoo.;;;gen_star;men;3
TS_kellner_schach_zoo_gemischt.jpg;Target;Die Kellner*innen spielen Schach im Zoo.;;;gen_star;mixed;3
TS_kellner_seilspringen_bibliothek_frauen.jpg;Target;Die Kellner springen Seil in der Bibliothek.;;;gen_masc;women;4
TS_kellner_seilspringen_bibliothek_männer.jpg;Target;Die Kellner springen Seil in der Bibliothek.;;;gen_masc;men;4
TS_kellner_seilspringen_bibliothek_gemischt.jpg;Target;Die Kellner springen Seil in der Bibliothek.;;;gen_masc;mixed;4
TS_kellner_seilspringen_bibliothek_frauen.jpg;Target;Die Kellner*innen springen Seil in der Bibliothek.;;;gen_star;women;4
TS_kellner_seilspringen_bibliothek_männer.jpg;Target;Die Kellner*innen springen Seil in der Bibliothek.;;;gen_star;men;4
TS_kellner_seilspringen_bibliothek_gemischt.jpg;Target;Die Kellner*innen springen Seil in der Bibliothek.;;;gen_star;mixed;4
TS_kinobesucher_lesen_burg_frauen.jpg;Target;Die Kinobesucher lesen in der Burg.;;;gen_masc;women;5
TS_kinobesucher_lesen_burg_männer.jpg;Target;Die Kinobesucher lesen in der Burg.;;;gen_masc;men;5
TS_kinobesucher_lesen_burg_gemischt.jpg;Target;Die Kinobesucher lesen in der Burg.;;;gen_masc;mixed;5
TS_kinobesucher_lesen_burg_frauen.jpg;Target;Die Kinobesucher*innen lesen in der Burg.;;;gen_star;women;5
